Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,Chrome 60.0.3112.113,Used to test the registration system.,2560-09-10 15:40:20,2560-09-10 15:41:38,1m - 17.919s,PASSED
,,,,,,
Test Cases/Register/Check_Validate_Register,Chrome 60.0.3112.113,Used to check validate on the registration page.,2560-09-10 15:40:21,2560-09-10 15:40:38,17.712s,PASSED
openBrowser,Chrome 60.0.3112.113,Open browser and navigate,2560-09-10 15:40:22,2560-09-10 15:40:26,4.156s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2560-09-10 15:40:26,2560-09-10 15:40:30,3.145s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2560-09-10 15:40:30,2560-09-10 15:40:31,1.166s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2560-09-10 15:40:31,2560-09-10 15:40:31,0.126s,PASSED
focus,Chrome 60.0.3112.113,Click submit button,2560-09-10 15:40:31,2560-09-10 15:40:31,0.276s,PASSED
click,Chrome 60.0.3112.113,,2560-09-10 15:40:31,2560-09-10 15:40:32,1.026s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2560-09-10 15:40:32,2560-09-10 15:40:32,0.026s,PASSED
Statement - emailMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_Email)),Chrome 60.0.3112.113,Vaildate message after record,2560-09-10 15:40:32,2560-09-10 15:40:32,0.231s,PASSED
verifyMatch,Chrome 60.0.3112.113,,2560-09-10 15:40:32,2560-09-10 15:40:32,0.041s,PASSED
Statement - usernameMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_UserName)),Chrome 60.0.3112.113,,2560-09-10 15:40:32,2560-09-10 15:40:33,0.221s,PASSED
verifyMatch,Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.003s,PASSED
Statement - passwordMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_Password)),Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.228s,PASSED
verifyMatch,Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.004s,PASSED
Statement - confirmPasswordMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_ConfirmPassword)),Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.277s,PASSED
verifyMatch,Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.004s,PASSED
Statement - nameMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_Name)),Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.204s,PASSED
verifyMatch,Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:33,0.003s,PASSED
Statement - lastNameMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Check_Validate_Register/vaildate_message_LastNames)),Chrome 60.0.3112.113,,2560-09-10 15:40:33,2560-09-10 15:40:34,0.299s,PASSED
